id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
821,Mitchell,Butler,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
822,Tito,Horford,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
823,Bryon,Russell,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
824,Luther,Wright,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
825,Darren,Morningstar,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
826,Jamal,Mashburn,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
827,Lucious,Harris,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
828,Popeye,Jones,,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
829,Eric,Riley,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
830,Sam,Cassell,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
831,P.J.,Brown,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
832,Rex,Walters,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
833,Antonio,Davis,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
834,Allan,Houston,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
835,Lindsey,Hunter,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
836,Brian,Davis,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
837,Isaiah,Rider,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
838,Matt,Wenstrom,,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
839,Scott,Haskin,,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
840,Gerald,Madkins,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
841,Greg,Graham,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
842,Ervin,Johnson,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
843,George,Lynch,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
844,Bob,Martin,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
845,Ricky,Grace,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
846,Sedric,Toney,,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
847,Chris,Webber,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
848,Gheorghe,Muresan,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
849,Richard,Petruska,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
850,Kevin,Thompson,,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
851,Adonis,Jordan,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
852,Scott,Burrell,,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
853,Dell,Demps,,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
854,Evers,Burns,,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
855,Aaron,Williams,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
856,Stanley,Jackson,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
857,David,Wesley,,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
858,Chris,King,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
859,Doug,Edwards,,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
860,Harold,Ellis,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
861,Malcolm,Mackey,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
862,Ben,Coleman,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
863,Roy,Marble,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
864,Reggie,Jordan,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
865,Chad,Gallagher,,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
866,Bo,Outlaw,,13,LAC,LA,West,Pacific,LA Clippers,Clippers
867,Bill,Edwards,,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
868,Andrew,Gaze,,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
869,Alphonso,Ford,,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
870,Andres,Guibert,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
871,Skeeter,Henry,,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
872,Chris,Jent,,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
873,Geert,Hammink,,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
874,Jalen,Rose,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
875,Reggie,Slater,,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
876,Askia,Jones,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
877,Donyell,Marshall,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
878,Howard,Eisley,,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
879,Grant,Hill,,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
880,Anthony,Miller,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
881,Eddie,Jones,,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
882,Dickey,Simpkins,,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
